question,entity,easting,northing,wikipedia,const
https://id.parliament.uk/O6dOod4v,West_Yorkshire,422078.707592887,428232.624283501,https://en.wikipedia.org/wiki/West_Yorkshire,Morley and Outwood
https://id.parliament.uk/EaOXJrsD,Leeds,430159.438640699,433562.472685,https://en.wikipedia.org/wiki/Leeds,Leeds Central
https://id.parliament.uk/91cHvq8j,Weston-super-Mare,332050.732201397,161221.987360274,https://en.wikipedia.org/wiki/Weston-super-Mare,Weston-super-Mare
https://id.parliament.uk/E1jAyEk3,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom,Bermondsey and Old Southwark
https://id.parliament.uk/OZnHM4ow,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon,Basildon and Billericay
https://id.parliament.uk/OZnHM4ow,Billericay,567487.349948146,194901.403725236,https://en.wikipedia.org/wiki/Billericay,Basildon and Billericay
https://id.parliament.uk/nQVjsk4K,Bristol_South_(UK_Parliament_constituency),359364.740297397,170060.108531334,https://en.wikipedia.org/wiki/Bristol_South_(UK_Parliament_constituency),Bristol South
https://id.parliament.uk/gORiPxWf,Feltham,510661.075696026,173490.835934284,https://en.wikipedia.org/wiki/Feltham,Feltham and Heston
https://id.parliament.uk/gORiPxWf,Heston,512664.945686838,177495.62797663,https://en.wikipedia.org/wiki/Heston,Feltham and Heston
https://id.parliament.uk/cbgdDTlz,Blackpool_North_railway_station,331022.137348206,436680.428109158,https://en.wikipedia.org/wiki/Blackpool_North_railway_station,Blackpool North and Cleveleys
https://id.parliament.uk/cbgdDTlz,Cleveleys,331730.907019977,443257.737631018,https://en.wikipedia.org/wiki/Cleveleys,Blackpool North and Cleveleys
https://id.parliament.uk/sK9NumyH,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom,Bermondsey and Old Southwark
https://id.parliament.uk/cul0GWjN,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon,Basildon and Billericay
https://id.parliament.uk/cul0GWjN,Billericay,567487.349948146,194901.403725236,https://en.wikipedia.org/wiki/Billericay,Basildon and Billericay
https://id.parliament.uk/6FsQgcty,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon,Basildon and Billericay
https://id.parliament.uk/6FsQgcty,Billericay,567487.349948146,194901.403725236,https://en.wikipedia.org/wiki/Billericay,Basildon and Billericay
https://id.parliament.uk/stFZxbxk,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom,Bermondsey and Old Southwark
https://id.parliament.uk/gIRKHtX4,"Kippax,_West_Yorkshire",441592.140662793,430245.138402584,"https://en.wikipedia.org/wiki/Kippax,_West_Yorkshire",Elmet and Rothwell
https://id.parliament.uk/kCXThQ8A,National_Cyber_Security_Centre_(Ireland),116782.669826722,390144.965280015,https://en.wikipedia.org/wiki/National_Cyber_Security_Centre_(Ireland),South Down
https://id.parliament.uk/umL3PJ3T,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom,Bermondsey and Old Southwark
